subcriteria,question,keterangan
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan pembuatan dan penyampaian dokumen kepabeanan dan penjaminan kualitas? Contoh, prosedur pembuatan dokumen pabean. * ",
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,Apakah Saudara memiliki prosedur untuk memitigasi pelanggaran yang terjadi terkait dengan kepatuhan kepabeanan dan/atau cukai? * ,
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan perizinan impor, ekspor, pengangkutan serta pertanggungjawaban/pelaporannya? * ",
Kepatuhan terhadap peraturan kepabeanan dan/atau peraturan lain terkait,"Apakah Saudara memiliki prosedur terkait dengan kewajiban pembayaran bea masuk, bea keluar, pajak dalam rangka impor (PDRI) serta pungutan negara lainnya? * ",
Sistem pengelolaan data perdagangan,"Apakah perusahaan memiliki kebijakan, prosedur dan/atau pedoman untuk pengelolaan catatan perdagangan? * ",
Sistem pengelolaan data perdagangan,"Apakah perusahaan memelihara sistem pengelolaan catatan perdagangan, termasuk sistem akuntansi yang memungkinkan DJBC untuk melakukan pemeriksaan sesuai dengan ketentuan yang berlaku yang ditujukan terutama untuk impor, ekspor barang, termasuk kegiatan pengiriman barang ekspor impor di dalam daerah pabean? * ",
Sistem pengelolaan data perdagangan,"Apakah sistem yang dikelola oleh perusahaan memiliki kemampuan yang memadai untuk secara aman mengakses, menyimpan/mengarsipkan (selama periode penyimpanan yang ditetapkan oleh peraturan yang berlaku), memproses, mengelola, mengambil, melindungi, dan melaporkan catatan terkait impor dan ekspor yang tepat waktu, akurat, lengkap, dan dapat diverifikasi, dengan prosedur yang jelas untuk tujuan kepabeanan? * ",
Sistem pengelolaan data perdagangan,Apakah sistem yang dimiliki dapat memfasilitasi pelacakan jejak audit/audit trail atas kegiatan kepabeanan atau pergerakan barang termasuk entri ke sistem akuntansi yang relevan? * ,
Sistem pengelolaan data perdagangan,Apakah perusahaan akan memberikan akses kepada DJBC sesuai dengan peraturan yang berlaku terhadap catatan atau pembukuan yang dijalankan oleh perusahaan terkait dengan kegiatan ekspor dan/atau impor barang?,
Sistem pengelolaan data perdagangan,Apakah perusahaan memiliki sistem pengendalian internal yang baik? * ,
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",
Sistem pengelolaan data perdagangan,Apakah perusahaan Anda memiliki prosedur untuk memeriksa file komputer (data terkini atau master data) dan apakah perusahaan anda mempertimbangkan risiko berikut:,
Sistem pengelolaan data perdagangan,a. Pencatatan transaksi yang tidak benar dan/atau tidak lengkap dalam sistem akuntansi;,
Sistem pengelolaan data perdagangan,"b. Penggunaan informasi yang tidak tepat atau kedaluwarsa, seperti kode HS atau peraturan expired / over kuota * ",
Kemampuan keuangan,Apakah perusahaan telah menyediakan laporan keuangan yang disusun berdasarkan prinsip akuntansi yang berlaku sesuai Standar Akuntansi Keuangan (PSAK)? * ,
Kemampuan keuangan,Apakah posisi keuangan perusahaan mampu untuk memenuhi seluruh kewajiban-kewajiban atau komitmen-komitmen yang akan jatuh tempo? * ,
"Sistem konsultasi, kerjasama, dan komunikasi",Apakah perusahaan sudah menunjuk Manajer AEO yang akan bertanggung jawab pada sebelum dan sesudah perusahaan mendapatkan pengakuan sebagai AEO dan apakah Manajer AEO yang ditunjuk oleh perusahaan memiliki pengetahuan dan mengetahui tanggung jawab terkait AEO? * ,
"Sistem konsultasi, kerjasama, dan komunikasi","Apakah terdapat prosedur terkait dengan pencatatan atas perbedaan antara dokumen tertulis dan/atau data elektronik terkait dengan barang, sehingga kelebihan atau kekurangan/barang dan muatan tercatat dan dilaporkan kepada DJBC? Bagaimana perusahaan menjaga konsultasi dan kerjasama dengan DJBC tetap berlangsung secara berkelanjutan? * ",
"Sistem konsultasi, kerjasama, dan komunikasi",Apakah DJBC diberitahukan secara tepat waktu jika terjadi bencana atau keadaan darurat yang menyangkut barang untuk aktivitas kepabeanan? * ,
"Sistem pendidikan, pelatihan dan kepedulian","Apakah perusahaan mempunyai pelatihan internal yang terdokumentasi terkait keamanan perdagangan, antara lain yang berhubungan dengan risiko atas:",
"Sistem pendidikan, pelatihan dan kepedulian",a. keamanan perdagangan,
"Sistem pendidikan, pelatihan dan kepedulian","b. keamanan informasi,",
"Sistem pendidikan, pelatihan dan kepedulian",c. kepedulian terhadap segala potensi ancaman sesuai dengan nature of business perusahaan. Apakah perusahaan mengelola terkait dengan pelatihan-pelatihan yang dilakukan? * ,
"Sistem pendidikan, pelatihan dan kepedulian","Apakah perusahaan menyediakan, secara teratur, pendidikan dan pelatihan tentang risiko yang terkait dengan arus barang dalam rantai pasok perdagangan internasional? Apakah karyawan memahami dan mampu menerapkan proses yang diperlukan untuk memastikan keamanan barang? * ",
"Sistem pendidikan, pelatihan dan kepedulian","Apakah ada pelatihan berkala bagi karyawan tentang manajemen krisis, termasuk latihan simulasi tanggap krisis? * ",
"Sistem pendidikan, pelatihan dan kepedulian",Apakah ada materi pelatihan internal yang terdokumentasi tentang peraturan kepabeanan? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur perlindungan keamanan terhadap sistem? Apa saja yang diatur dalam prosedur tersebut?,
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah sistem perusahaan dilengkapi dengan perangkat keamanan untuk mencegah akses tidak sah?,
"Sistem pertukaran informasi, akses dan kerahasiaan","Apakah perusahaan memiliki prosedur yang tepat untuk memastikan bahwa semua informasi yang digunakan dalam proses cargo clearance mudah dibaca dan dipahami, lengkap dan akurat serta terlindungi dari pengiriman, penghapusan atau penginputan atas informasi yang tidak benar? * ",
Sistem pengelolaan keamanan dan keselamatan,Apakah terdapat Person in Charge (PIC) yang bertanggung jawab untuk menangani IT perusahaan?,
"Sistem pertukaran informasi, akses dan kerahasiaan",Bagaimana prosedur penambahan/penghapusan user dalam sistem?,
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah semua user mempunyai perbedaan role?,
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah ada user yang bisa mengakses keseluruhan role? * ,
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur back up dan recovery?,
"Sistem pertukaran informasi, akses dan kerahasiaan","Jika ada, seberapa sering back up dilakukan?",
"Sistem pertukaran informasi, akses dan kerahasiaan",Apa saja data yang di-back-up dan di mana tempat penyimpanan data tersebut,
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah perusahaan mempunyai prosedur dan mekanisme terkait ruang server? * ,
